电影名,评分,卡司,海报
蝴蝶效应,8.8,"阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
春光乍泄,8.9,"张国荣,梁朝伟,张震",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
被嫌弃的松子的一生,8.9,"中谷美纪,永山瑛太,香川照之",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
禁闭岛,8.8,"莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg
心灵捕手,8.9,"马特·达蒙,罗宾·威廉姆斯,本·阿弗莱克",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
布达佩斯大饭店,8.8,"拉尔夫·费因斯,托尼·雷沃罗利,艾德里安·布洛迪",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg
阿凡达,8.7,"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg
剪刀手爱德华,8.7,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
勇敢的心,8.9,"梅尔·吉布森,苏菲·玛索,布莱恩·考克斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg
摩登时代,9.3,"查理·卓别林,宝莲·高黛,亨利·伯格曼",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
天使爱美丽,8.7,"奥黛丽·塔图,马修·卡索维茨,吕菲斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
喜剧之王,8.7,"周星驰,张柏芝,莫文蔚",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
加勒比海盗,8.7,"约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
致命ID,8.8,"约翰·库萨克,雷·利奥塔,阿曼达·皮特",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
断背山,8.8,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2154212680.jpg
杀人回忆,8.8,"宋康昊,金相庆,金雷夏",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2326071698.jpg
幽灵公主,8.9,"松田洋治,石田百合子,田中裕子",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg
狩猎,9.1,"麦斯·米科尔森,托玛斯·博·拉森,安妮卡·韦德科普",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
阳光灿烂的日子,8.8,"夏雨,宁静,陶虹",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg
请以你的名字呼唤我,8.9,"艾米·汉莫,蒂莫西·柴勒梅德,迈克尔·斯图巴",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
入殓师,8.8,"本木雅弘,广末凉子,山崎努",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg
哈利·波特与死亡圣器(下),8.8,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg
重庆森林,8.7,"林青霞,金城武,梁朝伟",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
第六感,8.9,"布鲁斯·威利斯,海利·乔·奥斯蒙,托妮·科莱特",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
小森林 夏秋篇,9.0,"桥本爱,三浦贵大,松冈茉优",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg
7号房的礼物,8.9,"柳承龙,朴信惠,郑镇荣",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg
消失的爱人,8.7,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
红辣椒,9.0,"林原惠美,江守彻,堀胜之祐",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg
爱在黎明破晓前,8.8,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg
小森林 冬春篇,9.0,"桥本爱,三浦贵大,松冈茉优",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2258078370.jpg
玛丽和马克思,8.9,"托妮·科莱特,菲利普·塞默·霍夫曼,巴瑞·哈姆弗莱斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2162822165.jpg
侧耳倾听,8.9,"本名阳子,小林桂树,高山南",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg
一一,9.0,"吴念真,李凯莉,金燕玲",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
告白,8.7,"松隆子,冈田将生,木村佳乃",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
唐伯虎点秋香,8.6,"周星驰,巩俐,陈百祥",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg
大鱼,8.8,"伊万·麦克格雷格,阿尔伯特·芬尼,比利·克鲁德普",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg
蝙蝠侠：黑暗骑士崛起,8.8,"克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg
阳光姐妹淘,8.8,"沈恩京,闵孝琳,姜素拉",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg
倩女幽魂,8.7,"张国荣,王祖贤,午马",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg
超脱,8.9,"艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg
射雕英雄传之东成西就,8.7,"梁朝伟,林青霞,张国荣",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.jpg
甜蜜蜜,8.8,"黎明,张曼玉,杨恭如",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
驯龙高手,8.7,"杰伊·巴鲁切尔,杰拉德·巴特勒,克雷格·费格森",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg
萤火之森,8.9,"佐仓绫音,内山昂辉,辻亲八",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg
超能陆战队,8.7,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg
无人知晓,9.1,"柳乐优弥,北浦爱,木村飞影",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg
幸福终点站,8.8,"汤姆·汉克斯,凯瑟琳·泽塔-琼斯,斯坦利·图齐",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg
菊次郎的夏天,8.8,"北野武,关口雄介,岸本加世子",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg
恐怖直播,8.8,"河正宇,李璟荣,全慧珍",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg
借东西的小人阿莉埃蒂,8.8,"志田未来,神木隆之介,树木希林",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg
爱在日落黄昏时,8.8,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910924221.jpg
神偷奶爸,8.6,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg
完美的世界,9.1,"凯文·科斯特纳,劳拉·邓恩,克林特·伊斯特伍德",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg
怪兽电力公司,8.7,"约翰·古德曼,比利·克里斯托,玛丽·吉布斯",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg
玩具总动员3,8.8,"汤姆·汉克斯,蒂姆·艾伦,琼·库萨克",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg
风之谷,8.9,"岛本须美,松田洋治,榊原良子",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg
血战钢锯岭,8.7,"安德鲁·加菲尔德,萨姆·沃辛顿,文斯·沃恩",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg
傲慢与偏见,8.6,"凯拉·奈特莉,马修·麦克费登,唐纳德·萨瑟兰",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p452005185.jpg
上帝之城,8.9,"亚历桑德雷·罗德里格斯,莱安德鲁·菲尔米诺,菲利佩·哈根森",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg
功夫,8.6,"周星驰,元秋,元华",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
时空恋旅人,8.7,"多姆纳尔·格里森,瑞秋·麦克亚当斯,比尔·奈伊",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg
教父3,8.9,"阿尔·帕西诺,黛安·基顿,塔莉娅·夏尔",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
电锯惊魂,8.7,"雷·沃纳尔,加利·艾尔维斯,丹尼·格洛弗",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.jpg
喜宴,8.9,"赵文瑄,郎雄,归亚蕾",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg
谍影重重3,8.8,"马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg
英雄本色,8.7,"周润发,狄龙,张国荣",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg
天书奇谭,9.2,"丁建华,毕克,苏秀",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg
人生果实,9.5,"津端修一,津端英子,树木希林",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544912792.jpg
岁月神偷,8.7,"吴君如,任达华,钟绍图",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg
被解救的姜戈,8.7,"杰米·福克斯,莱昂纳多·迪卡普里奥,克里斯托弗·瓦尔兹",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg
七武士,9.2,"三船敏郎,志村乔,津岛惠子",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2565471701.jpg
